SubjectCode,SubjectName,Number Credits,Fee,Fee International
SSC102,Business Communication,3,3690000,2505000
SSC103,Business Communication,3,3690000,2505000
SSC201,Effective presentation skills,3,3690000,2505000
SSC201,Effective presentation skills,3,3690000,2505000
SSC302c,Advanced Presentation Skills,3,3690000,2505000
SSC302m,Public Speaking,3,3690000,
SSG101,Working in Group,3,3690000,2505000
SSG103,Communication and In-Group Working Skills,3,3690000,2505000
SSG104,Communication and In-Group Working Skills,3,3690000,2505000
SSL101,Academic Skills for University Success,3,3690000,2505000
SSL101c,Academic Skills for University Success,3,3690000,2505000
SSL101c,Academic Skills for University Success,3,3690000,2505000
SSM201,Management Skills,3,3690000,2505000
SSN301,Negotiation,3,3690000,2505000
SSS101,Study Skill,0,0,0
SWC101,Software Engineering,3,3690000,2505000
SWD391,SW Architecture and Design,3,3690000,2505000
SWD392,SW Architecture and Design,3,3690000,2505000
SWE102,Introduction to Software Engineering,3,3690000,2505000
SWE201c,Introduction to Software Engineering,3,3690000,2505000
SWM301,IT Project Management,3,3690000,2505000
SWP391,Software development project,3,3690000,2505000
SWP490,SW Capstone Project,10,12300000,8350000
SWP493,SW Capstone Project,10,12300000,8350000
SWQ391,Software Quality Assurance and Testing,3,3690000,2505000
SWR301,Software Requirement,3,3690000,2505000
SWR302,Software Requirement,3,3690000,2505000
SWR302-Extra,Software Requirement,3,3690000,0
SWT301,Software Testing,3,3690000,2505000
SWT301-Extra,Software Testing,3,3690000,0
SWT301-Extra.,Software Testing,3,3690000,0
SYB301,Start Your Business,0,0,0
SYB302c,Entrepreneurship,3,3690000,2505000
SYB302c,Entrepreneurship,3,3690000,2505000
SYB303,Start Your Business,0,0,0
SYB303c,Start Your Business,0,3690000,0
TAB201,Travel Agency Business,3,3690000,
TAR_LV6,"TAR UMT University, Kuala lumpur, Malaysia",0,18500000,
Thesis,Thesis,0,0,
TM_COM*1,Option 1,3,3690000,
TM_COM*2,Option 2,3,3690000,
TM_COM*3,Option 3,3,3690000,
TM_COM*4,Option 4,3,3690000,
TM_GRA_ELE,Graduation Elective - Tourism and Travel Management,10,12300000,
TMG301,Text Mining,3,3690000,
TMG301m,Text Mining,3,3690000,
TMI_ELE,Traditional musical instrument,3,3690000,
TMI101,Traditional Musical Instrument,3,3690000,0
TPG202,Typography 1,3,3690000,2505000
TPG203,Basic typography & Layout,3,3690000,2505000
TPG301,Typography 2,3,3690000,2505000
TPG302,Typography & E-publication Design,3,3690000,2505000
TRG102,Traditional musical instrument,3,3690000,2505000
TRG103,Traditional Musical Instrument,3,3690000,
TRS401,TRS401,0,0,0
TRS403,English 4 (Speak Your Mind level 3),0,0,0
TRS501,TRS501,0,0,0
TRS601,TRS601,0,8330000,0
TTD202,Tourism destinations and routes of Vietnam,3,3690000,
TTD301,Tour design and development,3,3690000,
TTG201,Geography of tourism,3,3690000,2505000
TTI301,International Tourism,3,3690000,
TTM201,Tourism and Travel Management,3,3690000,2505000
TTM202,Destination Management,3,3690000,2505000
TTM203,Consumer Behavior,3,3690000,2505000
TTO301,Tour Operations Management,3,3690000,
TTS302,Sustainable Tourism,3,3690000,
VCM201,Visual Communication,3,3690000,2505000
VCM202,Visual Communication,3,3690000,2505000
VDE301,Digital Video Editing,3,3690000,
VDP201,Video Production,3,3690000,
VDP301,Video Production,3,3690000,
VNC101,Vietnamese Cultural,2,2460000,1670000
VNC102,Vietnamese Culture,3,3690000,2505000
VNC103,Vietnamsese culture base,3,3690000,2505000
VNC104,Vietnamese Culture,3,3690000,2505000
VNL111,Vietnamese Language 1,3,3690000,2505000
VNL111-Extra,Vietnamese Language 1,3,3690000,0
VNL121,Vietnamese Language 2,3,3690000,2505000
VNL131,Vietnamese Language 3,3,3690000,2505000
VNR201,Revolutionary line of CPV,3,3690000,2505000
VNR202,History of Viet Nam Communist Party,2,2460000,1670000
VOV112,Vovinam 1,1,1230000,835000
VOV113,Vovinam 2,1,1230000,835000
VOV114,Vovinam 1,2,2460000,1670000
VOV121,Vovinam 2,2,2460000,1670000
VOV122,Vovinam 3,1,1230000,835000
VOV123,Vovinam 4,1,1230000,835000
VOV124,Vovinam 2,2,2460000,1670000
VOV131,Vovinam 5,1,1230000,835000
VOV132,Vovinam 5,1,1230000,835000
VOV133,Vovinam 6,1,1230000,835000
VOV134,Vovinam 3,2,2460000,1670000
WDA201,Writing in the Digital age,3,3690000,
WDL201,Web layout design,3,3690000,2505000
WDL202,WEB Web layout design,3,3690000,25050000
WDL301,Web Design 1,3,3690000,2505000
WDP301,Web Development Project,3,3690000,2505000
WDT401,Web Design 2,3,3690000,2505000
WDU201,Principles of UX,3,3690000,2505000
WDU202c,The UI/UX Design,3,3690000,2505000
WDU203c,UI/UX Design,3,3690000,2505000
WEB201c,Web Design,3,3690000,2505000
WED201c,WEB DESIGN,3,3690000,2505000
WED201c-Extra,Web Design,3,3690000,0
WED301,Developing Interactive Web Pages,3,3690000,
WIR201,Interaction design,3,3690000,2505000
WMC201,Media Writing,3,3690000,
ÐBA101,Traditional musical instrument,0,3690000,0
ÐBA102,Traditional musical instrument,3,3690000,2505000
ÐNG101,Traditional musical instrument,3,3690000,2505000
ÐNG102,Traditional musical instrument,3,3690000,2505000
ÐNH101,Traditional musical instrument,0,3690000,0
ÐNH102,Traditional musical instrument,3,3690000,2505000
ÐSA101,Traditional musical instrument,3,3690000,0
ÐSA102,Traditional musical instrument,3,3690000,2505000
ÐTB102,Traditional musical instrument,3,3690000,2505000
ÐTR101,Traditional musical instrument,0,3690000,0
ÐTR102,Traditional musical instrument,3,3690000,2505000
